"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02"
"k__Bacteria;__;__;__;__;__;__",5,0,0,0,0,11,6,3,3,0,0,0,8,3,0,0,7,0,0,5,0,0,0,0,15,0,0,7,6,5,3,0,0,0,0,8,0,0,0,0,0,6,13,0,3,0,2,0,0,0,8,0,3,4,0,10,0,10,0,0,0,6,0,0,4,0,2,0,276,17,0,3
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__",0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,7,0,0,0,0,0,0,0,0,2,3,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__",0,169,0,0,0,0,0,120,0,142,245,477,180,79,0,0,129,0,94,184,0,0,225,163,125,0,53,118,550,165,0,81,0,36,113,94,86,0,0,0,0,0,0,180,213,249,0,274,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,321,0,119,173,0,56
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__",369,94,179,352,356,84,589,253,180,402,656,250,405,263,0,0,215,63,77,131,0,0,189,255,350,0,39,165,220,90,68,357,195,4,521,219,62,141,982,648,60,60,337,326,0,0,0,263,32,0,0,0,290,149,0,160,299,150,105,379,22,157,256,0,1,0,62,59,5,437,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__",0,0,0,94,221,824,187,0,187,530,236,184,73,0,178,0,152,105,77,44,45,25,242,0,264,0,688,296,65,207,75,50,393,232,365,512,662,459,116,249,0,0,260,208,107,175,0,349,0,0,0,185,384,234,725,871,232,168,67,291,30,922,0,0,30,59,0,226,188,465,0,66
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa",0,0,0,20,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,67,0,63,30,0,0,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0,43,157,824,135,117,92,80,0,56,0,0,86,34,48,28,10,25,213,66,156,0,32,27,64,0,0,81,120,251,608,200,129,61,118,0,181,0,0,0,0,0,104,93,90,89,0,104,59,0,0,164,97,57,0,37,79,1092,95,248,112,62,161,228,162,52,140,198,0,47,0,712
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis",0,110,0,996,389,9164,0,0,85,273,0,456,196,117,9067,7775,257,139,167,794,471,141,228,0,0,74,0,40,102,0,10,0,0,5,69,0,0,0,0,0,82,191,128,0,0,0,0,0,103,0,0,198,2567,1322,0,124,28,5,93,417,52,0,0,0,755,721,76,0,1025,0,124,0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__animalis",0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,97,0,0,0,0,0,0,6,9,0,32,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__",0,0,0,0,219,98,208,66,0,43,0,0,173,94,0,0,0,0,0,0,0,455,59,0,46,0,0,36,142,24,0,53,78,57,77,0,258,371,0,52,0,0,3,0,0,0,0,26,0,0,0,0,138,127,0,101,72,31,236,302,0,86,17,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__",176,0,95,153,0,0,0,121,0,187,0,0,104,121,0,0,79,0,0,0,0,87,123,34,116,0,204,381,0,554,150,276,370,212,133,103,143,0,105,0,125,86,0,0,219,274,0,97,0,0,53,236,60,136,0,156,201,0,46,104,114,0,118,296,0,0,0,0,137,3,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__C21_c20",0,23,0,0,0,31,0,0,0,0,0,0,0,0,0,30,0,24,0,0,0,23,38,0,0,0,0,24,33,0,0,0,0,0,0,0,20,0,0,0,0,13,44,7,30,0,47,0,0,0,0,0,0,0,0,0,49,0,29,0,0,25,0,0,0,11,0,0,0,10,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__;__",0,0,0,0,0,0,36,70,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,24,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,29,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,55,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__D168",0,0,0,0,0,0,1470,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,162,0,0,0,0,0,2,93,0,0,0,0,0,0,49,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,69,0,0,186,0,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__parainfluenzae",53,39,0,0,0,0,0,0,0,94,0,0,0,0,32,34,0,0,172,86,471,13,38,312,0,340,0,198,53,0,0,47,183,0,0,0,45,17,0,621,0,99,161,0,0,31,33,366,165,0,137,21,68,40,0,107,0,0,257,20,22,0,0,11,608,30,283,0,153,0,0,0
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__",25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,129,0,199,0,0,0,0,0,0,0,0,0,90,0,107,0,0,0,21,0,0,0,104,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava",0,102,0,0,0,90,0,60,0,84,0,0,0,0,0,95,73,0,122,106,95,31,87,0,0,0,0,177,153,39,106,0,37,198,138,158,103,0,0,0,0,78,101,50,0,0,54,45,109,0,0,0,64,49,0,0,0,0,69,0,93,0,0,0,0,0,58,0,51,0,62,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__",0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0,10,19,0,0,0,0,47,0,0,0,73,31,107,0,0,0,49,0,0,0,0,0,0,0,20,81,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;__;__",0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,17,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__;s__",0,0,118,182,20,0,143,138,19,69,0,0,105,32,0,0,0,0,0,0,0,0,130,0,120,0,0,48,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,21,0,0,0,0,0,47,0,43,0,0,0,0,0,0,0,0,197,66,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar",0,17,55,6,0,0,50,9,0,0,0,0,10,0,0,0,0,26,0,70,274,0,0,0,0,56,0,0,177,0,0,193,273,391,42,139,0,0,0,0,64,60,68,0,134,0,0,0,128,0,203,0,0,68,318,202,171,0,467,0,80,55,114,159,364,275,133,0,2,1,398,168
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megasphaera;s__",0,0,0,0,0,0,0,114,0,0,0,0,390,317,0,0,4,84,0,0,22,233,50,0,0,0,0,99,140,357,0,2,0,0,0,42,0,0,0,0,0,0,252,148,7,337,0,0,0,0,0,0,0,0,153,0,83,46,0,20,0,39,435,0,37,0,81,0,251,0,0,290
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,118,0,9,75,0,56,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;__",0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,64,0,0,0,0,0,0,0,0,20,0,124,0,42,100,110,0,25,0,31,0,0,0,0,40,60,0,0,0,127,0,0,0,0,0,41,0,0,0,0,0,42,0,0,0,0,0,0,0,70,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__",0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,84,0,0,0,0,8,0,0,0,15,71,157,0,27,84,152,0,34,0,19,0,0,0,0,58,86,0,0,36,97,0,0,0,18,0,58,0,0,0,0,0,85,0,0,0,0,0,0,0,93,11,0,0,0,0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens",0,19,454,978,0,227,176,131,13,422,0,0,199,167,106,158,238,0,69,0,0,0,148,0,133,43,0,134,0,0,0,139,170,96,0,42,193,0,0,0,0,0,46,130,0,0,0,238,0,0,0,629,0,97,0,21,0,0,0,147,100,193,407,208,56,0,0,106,0,0,0,0
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,18,7,0,0,0,35,0,95,0,91,0,67,0,48,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,23,0,0,0,0,171,7,27,0,0,0,24,0,25
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__",82,99,84,47,0,0,2,0,132,140,0,0,180,101,86,43,21,0,222,220,110,204,99,0,35,96,26,9,248,163,26,47,115,72,132,99,214,205,378,302,0,0,15,8,162,235,15,0,0,0,0,0,140,134,0,0,0,120,31,33,116,115,165,0,74,34,13,0,75,182,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__",0,0,0,29,0,0,0,0,0,0,0,0,1194,0,0,0,13,0,0,0,0,0,0,0,58,0,123,48,0,0,0,1,27,0,0,0,74,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,9,55,9,0,0,0,23,0,95
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,2,0,0,0,0,0,0,0,0,0,0,0,68,106,0,0,0,0,16,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;__",0,0,0,0,0,22,0,0,0,9,0,0,0,0,27,24,0,0,0,60,54,40,0,0,0,237,0,0,74,0,0,0,0,93,0,0,0,0,0,203,0,0,85,24,0,0,0,0,19,0,24,0,0,124,355,37,74,0,12,0,23,0,0,0,80,90,13,0,0,0,4,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;__;__",0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,82,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae;g__;s__",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,8,0,0,0,0,0,27,17,7,17,0,0,30,0,50,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius",18,25,0,0,0,0,0,0,132,201,297,0,220,148,171,0,63,0,144,176,84,0,154,295,129,111,243,135,19,0,7,0,0,12,0,0,13,0,731,87,0,0,0,0,0,0,0,336,0,0,0,0,0,8,0,0,0,0,0,37,0,0,0,0,0,0,59,146,56,156,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",0,0,0,72,99,0,0,11,47,42,0,0,25,24,0,0,0,0,0,0,7,0,26,0,46,0,0,0,0,15,19,55,49,0,0,0,41,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,15,23,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__",0,0,0,58,49,0,88,145,75,93,0,0,76,168,0,0,33,18,60,43,0,10,151,0,108,0,109,116,0,0,0,0,75,12,0,0,123,0,0,0,0,0,95,68,0,0,0,93,0,0,0,0,200,0,0,0,0,0,48,43,0,10,0,0,0,0,0,0,0,140,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__",0,0,86,183,97,31,109,44,325,109,33,0,177,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,61,212,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,192,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__",0,0,0,82,0,16,0,24,50,74,0,47,1,0,38,0,98,0,0,31,81,0,69,0,0,0,60,0,0,26,0,0,0,0,0,0,75,0,0,253,0,0,23,0,0,0,0,2,39,0,39,0,0,119,0,0,0,144,41,96,0,0,0,0,21,425,0,127,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__producta",0,66,0,42,0,0,0,0,0,0,0,0,0,0,414,137,27,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,169,66,0,0,0,0,0,0,0,30,0,0,125,20,0,0,0,0,0,0,0,0,37,0,0,0,49,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__catus",0,0,0,44,0,28,0,60,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,104,37,39,80,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__callidus",0,0,39,64,0,0,77,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,106,17,48,8,0,0,0,0,43,0,0,63,0,23,8,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,68,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__",0,0,0,0,0,0,0,0,0,24,0,0,0,14,0,0,36,0,0,0,24,0,34,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,33,0,0,0,0,0,46,0,0,0,25,0,27,11,0,0,16,0,23,0,50,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__",88,19,102,0,0,0,0,0,52,0,0,0,25,60,0,0,8,0,24,17,0,0,120,0,65,0,0,24,28,108,0,0,27,0,0,0,0,0,0,0,0,0,0,13,74,83,0,28,0,0,0,0,93,121,0,0,0,0,92,29,26,0,88,0,0,0,0,0,0,151,0,0
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__",0,24,0,99,0,0,2,57,0,0,0,0,0,0,0,0,21,0,0,28,0,0,0,0,0,35,0,38,0,34,0,33,0,0,0,0,0,0,0,0,0,28,29,19,0,0,33,0,24,0,0,0,34,30,0,0,0,0,57,25,46,0,0,0,0,0,61,15,22,0,19,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__yabuuchiae",0,55,0,0,0,9,0,15,0,12,0,0,0,0,0,31,0,24,0,0,0,0,21,0,0,39,0,93,98,0,22,92,84,54,27,0,33,0,0,13,0,39,59,0,0,20,0,0,16,0,0,0,51,9,0,0,0,0,58,0,0,0,0,0,0,0,74,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__",0,548,0,0,0,0,0,0,0,0,0,0,0,2,56,0,158,0,0,0,0,0,0,0,0,4,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,0,165,0,0,0,74,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii",0,31,143,189,0,41,101,104,102,63,27,0,73,137,0,40,64,62,0,0,0,390,0,0,0,0,751,141,0,33,14,147,0,0,23,16,190,737,0,0,24,156,0,0,0,0,0,341,0,0,0,101,62,104,0,57,0,54,17,191,0,24,0,0,228,28,29,0,183,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum",78,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,57,0,0,0,0,0,153,0,0,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__",0,0,136,193,256,12,41,0,78,89,0,0,268,74,97,0,33,0,0,0,68,0,23,0,100,0,139,109,125,55,376,84,162,0,74,0,84,0,0,0,0,27,163,2,140,0,0,58,0,0,0,0,42,0,426,415,172,78,120,0,104,0,1,47,1,0,13,22,0,106,175,113
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme",0,0,0,0,0,0,163,91,0,0,0,0,0,0,0,0,25,0,0,0,0,4,93,41,153,0,0,0,0,0,224,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,133,0,0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,29,0,43,0,0,0,0,0,37,0,0,0,128,0,41,0,52,0,52
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__",0,56,1,0,0,89,0,0,0,0,0,0,0,0,0,0,76,19,52,0,29,0,22,0,0,147,0,0,30,0,0,0,0,0,0,0,23,0,0,106,0,0,0,34,94,0,0,0,107,0,77,0,281,0,0,0,0,27,0,0,47,130,0,87,96,0,203,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,75,56,0,0,0,65,0,5,0,0,44,22,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;__;__",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis",0,0,119,58,241,0,182,90,147,0,0,0,120,90,0,0,0,0,0,0,109,0,114,27,92,0,237,164,472,90,79,109,359,0,0,0,317,0,36,0,0,61,134,0,91,312,27,0,23,0,0,79,0,69,0,0,0,287,207,102,0,28,122,0,71,0,0,24,86,40,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea",0,0,0,0,0,0,0,0,0,0,0,0,329,141,0,10,3,0,357,164,0,0,84,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,132,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,70,0,0,134,0,126,0,0,0,0,0,0,0,0,0,9,86,0,0,0,0,157,64,0,0,0,0,0,0,0,24,263,109,42,0,0,0,60,150,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53;s__",0,106,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,82,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,123,0,33,0,2,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans",61,0,90,107,150,150,114,146,90,179,61,123,0,89,166,102,0,13,0,0,66,0,134,0,103,39,132,189,23,0,27,153,153,67,81,0,0,0,0,0,0,148,80,138,0,0,0,124,0,0,0,156,192,100,0,138,0,0,98,99,39,115,0,0,0,0,157,4,154,135,0,0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__",0,171,0,0,0,0,0,0,0,837,0,0,80,25,0,0,0,26,92,0,0,0,0,0,0,630,0,0,0,41,0,0,49,0,0,0,43,0,0,0,105,89,79,0,44,0,231,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum",0,0,0,0,0,71,0,0,81,44,0,0,67,48,0,0,0,0,0,0,0,0,47,0,0,0,0,83,0,0,0,0,0,0,0,0,137,0,0,136,0,0,0,0,0,61,0,0,0,0,0,0,37,81,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus];s__torques",0,98,0,73,0,0,127,0,0,0,0,101,0,88,0,0,0,0,0,0,93,0,0,0,0,0,111,88,71,90,56,94,0,0,0,0,93,98,0,0,58,0,0,56,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus",0,0,0,0,0,0,0,0,95,0,0,0,112,110,0,0,0,0,0,0,0,0,77,0,96,0,129,84,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,155,0,0
